ID,英語,日本語
0,—,―
1,Stench,あくしゅう
2,Drizzle,あめふらし
3,Speed Boost,かそく
4,Battle Armor,カブトアーマー
5,Sturdy,がんじょう
6,Damp,しめりけ
7,Limber,じゅうなん
8,Sand Veil,すながくれ
9,Static,せいでんき
10,Volt Absorb,ちくでん
11,Water Absorb,ちょすい
12,Oblivious,どんかん
13,Cloud Nine,ノーてんき
14,Compound Eyes,ふくがん
15,Insomnia,ふみん
16,Color Change,へんしょく
17,Immunity,めんえき
18,Flash Fire,もらいび
19,Shield Dust,りんぷん
20,Own Tempo,マイペース
21,Suction Cups,きゅうばん
22,Intimidate,いかく
23,Shadow Tag,かげふみ
24,Rough Skin,さめはだ
25,Wonder Guard,ふしぎなまもり
26,Levitate,ふゆう
27,Effect Spore,ほうし
28,Synchronize,シンクロ
29,Clear Body,クリアボディ
30,Natural Cure,しぜんかいふく
31,Lightning Rod,ひらいしん
32,Serene Grace,てんのめぐみ
33,Swift Swim,すいすい
34,Chlorophyll,ようりょくそ
35,Illuminate,はっこう
36,Trace,トレース
37,Huge Power,ちからもち
38,Poison Point,どくのトゲ
39,Inner Focus,せいしんりょく
40,Magma Armor,マグマのよろい
41,Water Veil,みずのベール
42,Magnet Pull,じりょく
43,Soundproof,ぼうおん
44,Rain Dish,あめうけざら
45,Sand Stream,すなおこし
46,Pressure,プレッシャー
47,Thick Fat,あついしぼう
48,Early Bird,はやおき
49,Flame Body,ほのおのからだ
50,Run Away,にげあし
51,Keen Eye,するどいめ
52,Hyper Cutter,かいりきバサミ
53,Pickup,ものひろい
54,Truant,なまけ
55,Hustle,はりきり
56,Cute Charm,メロメロボディ
57,Plus,プラス
58,Minus,マイナス
59,Forecast,てんきや
60,Sticky Hold,ねんちゃく
61,Shed Skin,だっぴ
62,Guts,こんじょう
63,Marvel Scale,ふしぎなうろこ
64,Liquid Ooze,ヘドロえき
65,Overgrow,しんりょく
66,Blaze,もうか
67,Torrent,げきりゅう
68,Swarm,むしのしらせ
69,Rock Head,いしあたま
70,Drought,ひでり
71,Arena Trap,ありじごく
72,Vital Spirit,やるき
73,White Smoke,しろいけむり
74,Pure Power,ヨガパワー
75,Shell Armor,シェルアーマー
76,Air Lock,エアロック
77,Tangled Feet,ちどりあし
78,Motor Drive,でんきエンジン
79,Rivalry,とうそうしん
80,Steadfast,ふくつのこころ
81,Snow Cloak,ゆきがくれ
82,Gluttony,くいしんぼう
83,Anger Point,いかりのつぼ
84,Unburden,かるわざ
85,Heatproof,たいねつ
86,Simple,たんじゅん
87,Dry Skin,かんそうはだ
88,Download,ダウンロード
89,Iron Fist,てつのこぶし
90,Poison Heal,ポイズンヒール
91,Adaptability,てきおうりょく
92,Skill Link,スキルリンク
93,Hydration,うるおいボディ
94,Solar Power,サンパワー
