ID,英語,日本語
0,None,なし
1,Master Ball,マスターボール
2,Ultra Ball,ハイパーボール
3,Great Ball,スーパーボール
4,Poké Ball,モンスターボール
5,Safari Ball,サファリボール
6,Net Ball,ネットボール
7,Dive Ball,ダイブボール
8,Nest Ball,ネストボール
9,Repeat Ball,リピートボール
10,Timer Ball,タイマーボール
11,Luxury Ball,ゴージャスボール
12,Premier Ball,プレミアボール
13,Dusk Ball,ダークボール
14,Heal Ball,ヒールボール
15,Quick Ball,クイックボール
16,Cherish Ball,プレシャスボール
17,Potion,キズぐすり
18,Antidote,どくけし
19,Burn Heal,やけどなおし
20,Ice Heal,こおりなおし
21,Awakening,ねむけざまし
22,Paralyze Heal,まひなおし
23,Full Restore,かいふくのくすり
24,Max Potion,まんたんのくすり
25,Hyper Potion,すごいキズぐすり
26,Super Potion,いいキズぐすり
27,Full Heal,なんでもなおし
28,Revive,げんきのかけら
29,Max Revive,げんきのかたまり
30,Fresh Water,おいしいみず
31,Soda Pop,サイコソーダ
32,Lemonade,ミックスオレ
33,Moomoo Milk,モーモーミルク
34,Energy Powder,ちからのこな
35,Energy Root,ちからのねっこ
36,Heal Powder,ばんのうごな
37,Revival Herb,ふっかつそう
38,Ether,ピーピーエイド
39,Max Ether,ピーピーリカバー
40,Elixir,ピーピーエイダー
41,Max Elixir,ピーピーマックス
42,Lava Cookie,フエンせんべい
43,Berry Juice,きのみジュース
44,Sacred Ash,せいなるはい
45,HP Up,マックスアップ
46,Protein,タウリン
47,Iron,ブロムヘキシン
48,Carbos,インドメタシン
49,Calcium,リゾチウム
50,Rare Candy,ふしぎなアメ
51,PP Up,ポイントアップ
52,Zinc,キトサン
53,PP Max,ポイントマックス
54,Old Gateau,もりのヨウカン
55,Guard Spec.,エフェクトガード
56,Dire Hit,クリティカット
57,X Attack,プラスパワー
58,X Defense,ディフェンダー
59,X Speed,スピーダー
60,X Accuracy,ヨクアタール
61,X Sp. Atk,スペシャルアップ
62,X Sp. Def,スペシャルガード
63,Poké Doll,ピッピにんぎょう
64,Fluffy Tail,エネコのシッポ
65,Blue Flute,あおいビードロ
66,Yellow Flute,きいろビードロ
67,Red Flute,あかいビードロ
68,Black Flute,くろいビードロ
69,White Flute,しろいビードロ
70,Shoal Salt,あさせのしお
71,Shoal Shell,あさせのかいがら
72,Red Shard,あかいかけら
73,Blue Shard,あおいかけら
74,Yellow Shard,きいろいかけら
75,Green Shard,みどりのかけら
76,Super Repel,シルバースプレー
77,Max Repel,ゴールドスプレー
78,Escape Rope,あなぬけのヒモ
79,Repel,むしよけスプレー
80,Sun Stone,たいようのいし
81,Moon Stone,つきのいし
82,Fire Stone,ほのおのいし
83,Thunder Stone,かみなりのいし
84,Water Stone,みずのいし
85,Leaf Stone,リーフのいし
86,Tiny Mushroom,ちいさなキノコ
87,Big Mushroom,おおきなキノコ
88,Pearl,しんじゅ
89,Big Pearl,おおきなしんじゅ
90,Stardust,ほしのすな
91,Star Piece,ほしのかけら
92,Nugget,きんのたま
93,Heart Scale,ハートのウロコ
94,Honey,あまいミツ
95,Growth Mulch,すくすくこやし
96,Damp Mulch,じめじめこやし
97,Stable Mulch,ながながこやし
98,Gooey Mulch,ねばねばこやし
99,Root Fossil,ねっこのカセキ
100,Claw Fossil,ツメのカセキ
101,Helix Fossil,かいのカセキ
102,Dome Fossil,こうらのカセキ
103,Old Amber,ひみつのコハク
104,Armor Fossil,たてのカセキ
105,Skull Fossil,ずがいのカセキ
106,Rare Bone,きちょうなホネ
107,Shiny Stone,ひかりのいし
108,Dusk Stone,やみのいし
109,Dawn Stone,めざめいし
110,Oval Stone,まんまるいし
111,Odd Keystone,かなめいし
112,Griseous Orb,はっきんだま
113,Tea,おちゃ
114,???,？？？
115,Autograph,マチスのサイン
116,Douse Drive,アクアカセット
117,Shock Drive,イナズマカセット
118,Burn Drive,ブレイズカセット
119,Chill Drive,フリーズカセット
120,???,？？？
121,Pokémon Box Link,ポケモンボックス
122,Medicine Pocket,かいふくポケット
123,TM Case,わざマシンケース
124,Candy Jar,アメボトル
125,Power-Up Pocket,きょうかポケット
126,Clothing Trunk,おきがえトランク
127,Catching Pocket,ほかくポケット
128,Battle Pocket,バトルポケット
129,???,？？？
130,???,？？？
131,???,？？？
132,???,？？？
133,???,？？？
134,Sweet Heart,ハートスイーツ
135,Adamant Orb,こんごうだま
136,Lustrous Orb,しらたま
137,Greet Mail,はじめてメール
138,Favored Mail,だいすきメール
139,RSVP Mail,おさそいメール
140,Thanks Mail,かんしゃメール
141,Inquiry Mail,しつもんメール
142,Like Mail,おすすめメール
143,Reply Mail,おかえしメール
144,Bridge Mail S,ブリッジメールＳ
145,Bridge Mail D,ブリッジメールＨ
146,Bridge Mail T,ブリッジメールＣ
147,Bridge Mail V,ブリッジメールＶ
148,Bridge Mail M,ブリッジメールＷ
149,Cheri Berry,クラボのみ
150,Chesto Berry,カゴのみ
151,Pecha Berry,モモンのみ
152,Rawst Berry,チーゴのみ
153,Aspear Berry,ナナシのみ
154,Leppa Berry,ヒメリのみ
155,Oran Berry,オレンのみ
156,Persim Berry,キーのみ
157,Lum Berry,ラムのみ
158,Sitrus Berry,オボンのみ
159,Figy Berry,フィラのみ
160,Wiki Berry,ウイのみ
161,Mago Berry,マゴのみ
162,Aguav Berry,バンジのみ
163,Iapapa Berry,イアのみ
164,Razz Berry,ズリのみ
165,Bluk Berry,ブリーのみ
166,Nanab Berry,ナナのみ
167,Wepear Berry,セシナのみ
168,Pinap Berry,パイルのみ
169,Pomeg Berry,ザロクのみ
170,Kelpsy Berry,ネコブのみ
171,Qualot Berry,タポルのみ
172,Hondew Berry,ロメのみ
173,Grepa Berry,ウブのみ
174,Tamato Berry,マトマのみ
175,Cornn Berry,モコシのみ
176,Magost Berry,ゴスのみ
177,Rabuta Berry,ラブタのみ
178,Nomel Berry,ノメルのみ
179,Spelon Berry,ノワキのみ
180,Pamtre Berry,シーヤのみ
181,Watmel Berry,カイスのみ
182,Durin Berry,ドリのみ
183,Belue Berry,ベリブのみ
184,Occa Berry,オッカのみ
185,Passho Berry,イトケのみ
186,Wacan Berry,ソクノのみ
187,Rindo Berry,リンドのみ
188,Yache Berry,ヤチェのみ
189,Chople Berry,ヨプのみ
190,Kebia Berry,ビアーのみ
191,Shuca Berry,シュカのみ
192,Coba Berry,バコウのみ
193,Payapa Berry,ウタンのみ
194,Tanga Berry,タンガのみ
195,Charti Berry,ヨロギのみ
196,Kasib Berry,カシブのみ
197,Haban Berry,ハバンのみ
198,Colbur Berry,ナモのみ
199,Babiri Berry,リリバのみ
200,Chilan Berry,ホズのみ
201,Liechi Berry,チイラのみ
202,Ganlon Berry,リュガのみ
203,Salac Berry,カムラのみ
204,Petaya Berry,ヤタピのみ
205,Apicot Berry,ズアのみ
206,Lansat Berry,サンのみ
207,Starf Berry,スターのみ
208,Enigma Berry,ナゾのみ
209,Micle Berry,ミクルのみ
210,Custap Berry,イバンのみ
211,Jaboca Berry,ジャポのみ
212,Rowap Berry,レンブのみ
213,Bright Powder,ひかりのこな
214,White Herb,しろいハーブ
215,Macho Brace,きょうせいギプス
216,Exp. Share,がくしゅうそうち
217,Quick Claw,せんせいのツメ
218,Soothe Bell,やすらぎのすず
219,Mental Herb,メンタルハーブ
220,Choice Band,こだわりハチマキ
221,King’s Rock,おうじゃのしるし
222,Silver Powder,ぎんのこな
223,Amulet Coin,おまもりこばん
224,Cleanse Tag,きよめのおふだ
225,Soul Dew,こころのしずく
226,Deep Sea Tooth,しんかいのキバ
227,Deep Sea Scale,しんかいのウロコ
228,Smoke Ball,けむりだま
229,Everstone,かわらずのいし
230,Focus Band,きあいのハチマキ
231,Lucky Egg,しあわせタマゴ
232,Scope Lens,ピントレンズ
233,Metal Coat,メタルコート
234,Leftovers,たべのこし
235,Dragon Scale,りゅうのウロコ
236,Light Ball,でんきだま
237,Soft Sand,やわらかいすな
238,Hard Stone,かたいいし
239,Miracle Seed,きせきのタネ
240,Black Glasses,くろいメガネ
241,Black Belt,くろおび
242,Magnet,じしゃく
243,Mystic Water,しんぴのしずく
244,Sharp Beak,するどいくちばし
245,Poison Barb,どくバリ
246,Never-Melt Ice,とけないこおり
247,Spell Tag,のろいのおふだ
248,Twisted Spoon,まがったスプーン
249,Charcoal,もくたん
250,Dragon Fang,りゅうのキバ
251,Silk Scarf,シルクのスカーフ
252,Upgrade,アップグレード
253,Shell Bell,かいがらのすず
254,Sea Incense,うしおのおこう
255,Lax Incense,のんきのおこう
256,Lucky Punch,ラッキーパンチ
257,Metal Powder,メタルパウダー
258,Thick Club,ふといホネ
259,Leek,ながねぎ
260,Red Scarf,あかいバンダナ
261,Blue Scarf,あおいバンダナ
262,Pink Scarf,ピンクのバンダナ
263,Green Scarf,みどりのバンダナ
264,Yellow Scarf,きいろのバンダナ
265,Wide Lens,こうかくレンズ
266,Muscle Band,ちからのハチマキ
267,Wise Glasses,ものしりメガネ
268,Expert Belt,たつじんのおび
269,Light Clay,ひかりのねんど
270,Life Orb,いのちのたま
271,Power Herb,パワフルハーブ
272,Toxic Orb,どくどくだま
273,Flame Orb,かえんだま
274,Quick Powder,スピードパウダー
275,Focus Sash,きあいのタスキ
276,Zoom Lens,フォーカスレンズ
277,Metronome,メトロノーム
278,Iron Ball,くろいてっきゅう
279,Lagging Tail,こうこうのしっぽ
280,Destiny Knot,あかいいと
281,Black Sludge,くろいヘドロ
282,Icy Rock,つめたいいわ
283,Smooth Rock,さらさらいわ
284,Heat Rock,あついいわ
285,Damp Rock,しめったいわ
286,Grip Claw,ねばりのかぎづめ
287,Choice Scarf,こだわりスカーフ
288,Sticky Barb,くっつきバリ
289,Power Bracer,パワーリスト
290,Power Belt,パワーベルト
291,Power Lens,パワーレンズ
292,Power Band,パワーバンド
293,Power Anklet,パワーアンクル
294,Power Weight,パワーウエイト
295,Shed Shell,きれいなぬけがら
296,Big Root,おおきなねっこ
297,Choice Specs,こだわりメガネ
298,Flame Plate,ひのたまプレート
299,Splash Plate,しずくプレート
300,Zap Plate,いかずちプレート
301,Meadow Plate,みどりのプレート
302,Icicle Plate,つららのプレート
303,Fist Plate,こぶしのプレート
304,Toxic Plate,もうどくプレート
305,Earth Plate,だいちのプレート
306,Sky Plate,あおぞらプレート
307,Mind Plate,ふしぎのプレート
308,Insect Plate,たまむしプレート
309,Stone Plate,がんせきプレート
310,Spooky Plate,もののけプレート
311,Draco Plate,りゅうのプレート
312,Dread Plate,こわもてプレート
313,Iron Plate,こうてつプレート
314,Odd Incense,あやしいおこう
315,Rock Incense,がんせきおこう
316,Full Incense,まんぷくおこう
317,Wave Incense,さざなみのおこう
318,Rose Incense,おはなのおこう
319,Luck Incense,こううんのおこう
320,Pure Incense,きよめのおこう
321,Protector,プロテクター
322,Electirizer,エレキブースター
323,Magmarizer,マグマブースター
324,Dubious Disc,あやしいパッチ
325,Reaper Cloth,れいかいのぬの
326,Razor Claw,するどいツメ
327,Razor Fang,するどいキバ
328,TM01,わざマシン０１
329,TM02,わざマシン０２
330,TM03,わざマシン０３
331,TM04,わざマシン０４
332,TM05,わざマシン０５
333,TM06,わざマシン０６
334,TM07,わざマシン０７
335,TM08,わざマシン０８
336,TM09,わざマシン０９
337,TM10,わざマシン１０
338,TM11,わざマシン１１
339,TM12,わざマシン１２
340,TM13,わざマシン１３
341,TM14,わざマシン１４
342,TM15,わざマシン１５
343,TM16,わざマシン１６
344,TM17,わざマシン１７
345,TM18,わざマシン１８
346,TM19,わざマシン１９
347,TM20,わざマシン２０
348,TM21,わざマシン２１
349,TM22,わざマシン２２
350,TM23,わざマシン２３
351,TM24,わざマシン２４
352,TM25,わざマシン２５
353,TM26,わざマシン２６
354,TM27,わざマシン２７
355,TM28,わざマシン２８
356,TM29,わざマシン２９
357,TM30,わざマシン３０
358,TM31,わざマシン３１
359,TM32,わざマシン３２
360,TM33,わざマシン３３
361,TM34,わざマシン３４
362,TM35,わざマシン３５
363,TM36,わざマシン３６
364,TM37,わざマシン３７
365,TM38,わざマシン３８
366,TM39,わざマシン３９
367,TM40,わざマシン４０
368,TM41,わざマシン４１
369,TM42,わざマシン４２
370,TM43,わざマシン４３
371,TM44,わざマシン４４
372,TM45,わざマシン４５
373,TM46,わざマシン４６
374,TM47,わざマシン４７
375,TM48,わざマシン４８
376,TM49,わざマシン４９
377,TM50,わざマシン５０
378,TM51,わざマシン５１
379,TM52,わざマシン５２
380,TM53,わざマシン５３
381,TM54,わざマシン５４
382,TM55,わざマシン５５
383,TM56,わざマシン５６
384,TM57,わざマシン５７
385,TM58,わざマシン５８
386,TM59,わざマシン５９
387,TM60,わざマシン６０
388,TM61,わざマシン６１
389,TM62,わざマシン６２
390,TM63,わざマシン６３
391,TM64,わざマシン６４
392,TM65,わざマシン６５
393,TM66,わざマシン６６
394,TM67,わざマシン６７
395,TM68,わざマシン６８
396,TM69,わざマシン６９
397,TM70,わざマシン７０
398,TM71,わざマシン７１
399,TM72,わざマシン７２
400,TM73,わざマシン７３
401,TM74,わざマシン７４
402,TM75,わざマシン７５
403,TM76,わざマシン７６
404,TM77,わざマシン７７
405,TM78,わざマシン７８
406,TM79,わざマシン７９
407,TM80,わざマシン８０
408,TM81,わざマシン８１
409,TM82,わざマシン８２
410,TM83,わざマシン８３
411,TM84,わざマシン８４
412,TM85,わざマシン８５
413,TM86,わざマシン８６
414,TM87,わざマシン８７
415,TM88,わざマシン８８
416,TM89,わざマシン８９
417,TM90,わざマシン９０
418,TM91,わざマシン９１
419,TM92,わざマシン９２
420,HM01,ひでんマシン０１
421,HM02,ひでんマシン０２
422,HM03,ひでんマシン０３
423,HM04,ひでんマシン０４
424,HM05,ひでんマシン０５
425,HM06,ひでんマシン０６
426,???,？？？
427,???,？？？
428,Explorer Kit,たんけんセット
429,Loot Sack,たからぶくろ
430,Rule Book,ルールブック
431,Poké Radar,ポケトレ
432,Point Card,ポイントカード
433,Guidebook,ぼうけんノート
434,Sticker Case,シールいれ
435,Fashion Case,アクセサリーいれ
436,Sticker Bag,シールぶくろ
437,Pal Pad,ともだちてちょう
438,Works Key,はつでんしょキー
439,Old Charm,こだいのおまもり
440,Galactic Key,ギンガだんのカギ
441,Red Chain,あかいくさり
442,Town Map,タウンマップ
443,Vs. Seeker,バトルサーチャー
444,Coin Case,コインケース
445,Old Rod,ボロのつりざお
446,Good Rod,いいつりざお
447,Super Rod,すごいつりざお
448,Sprayduck,コダックじょうろ
449,Poffin Case,ポフィンケース
450,Bike,じてんしゃ
451,Suite Key,ルームキー
452,Oak’s Letter,オーキドのてがみ
453,Lunar Feather,みかづきのはね
