ID,全国,名前,フォルム,GEN,FID,RID,TID,IID,名前(フォルム),タイプ1,,タイプ2,,HP,攻撃,防御,特攻,特防,素早,合計,とくせい1,とくせい2,夢特性,重さ(kg),スプライト名,スプライトID,アイコンID,アイコン名
0,0001,フシギダネ,,1,00,00,00,,フシギダネ,くさ,grass,どく,poison,45,49,49,65,65,45,318,しんりょく,,ようりょくそ,6.9,pm0001_00_00_00,,#REF!,Pokémon-Icon_001
1,0002,フシギソウ,,1,00,00,00,,フシギソウ,くさ,grass,どく,poison,60,62,63,80,80,60,405,しんりょく,,ようりょくそ,13,pm0002_00_00_00,,1IqmYr2ojHjA2FYbUC4U8EWv48NPNwFfJ,Pokémon-Icon_002
2,0003,フシギバナ,,1,00,00,00,,フシギバナ,くさ,grass,どく,poison,80,82,83,100,100,80,525,しんりょく,,ようりょくそ,100,pm0003_00_00_00,,#REF!,Pokémon-Icon_003
3,0004,ヒトカゲ,,1,00,00,00,,ヒトカゲ,ほのお,fire,なし,none,39,52,43,60,50,65,309,もうか,,サンパワー,8.5,pm0004_00_00_00,1GRLeSASjOP8hc5J1FXyzgQRS3KhoufVa,10sRbpMS5T5bxeQg-Js6UGolvc36Z3FUe,Pokémon-Icon_004
4,0005,リザード,,1,00,00,00,,リザード,ほのお,fire,なし,none,58,64,58,80,65,80,405,もうか,,サンパワー,19,pm0005_00_00_00,1dHaTJcqhOdsH48hbBgl22TNrUreAruBK,1FvjtoGYpW26hMrGQmDLuOHBbGQj7Qf80,Pokémon-Icon_005
5,0006,リザードン,,1,00,00,00,,リザードン,ほのお,fire,ひこう,flying,78,84,78,109,85,100,534,もうか,,サンパワー,90.5,pm0006_00_00_00,1u4l0ODYwJD_79d0ZtmUqugzmx7wU5UUr,1lCRSMYbDEevzu4QUg3AciYaw8eFeXhvV,Pokémon-Icon_006
6,0007,ゼニガメ,,1,00,00,00,,ゼニガメ,みず,water,なし,none,44,48,65,50,64,43,314,げきりゅう,,あめうけざら,9,pm0007_00_00_00,,1DIfLw1hC92YHZZnJNFLTvnNHmC_WfO7M,Pokémon-Icon_007
7,0008,カメール,,1,00,00,00,,カメール,みず,water,なし,none,59,63,80,65,80,58,405,げきりゅう,,あめうけざら,22.5,pm0008_00_00_00,,13Cx2zt1jYiHPq96UdSGOUSia8LpztyQ1,Pokémon-Icon_008
8,0009,カメックス,,1,00,00,00,,カメックス,みず,water,なし,none,79,83,100,85,105,78,530,げきりゅう,,あめうけざら,85.5,pm0009_00_00_00,,1ZvoLqJuB9AK1zWV7kDh1JRx7C9vscNTW,Pokémon-Icon_009
9,0010,キャタピー,,1,00,00,00,,キャタピー,むし,bug,なし,none,45,30,35,20,20,45,195,りんぷん,,にげあし,2.9,pm0010_00_00_00,,126_Vl7m12KO9StlqPJNeF5g7dSt--qhB,Pokémon-Icon_010
10,0011,トランセル,,1,00,00,00,,トランセル,むし,bug,なし,none,50,20,55,25,25,30,205,だっぴ,,,9.9,pm0011_00_00_00,,1WPAh1dNKZvKsEu_dXJ6vxhSFUFvdXzv2,Pokémon-Icon_011
11,0012,バタフリー,,1,00,00,00,,バタフリー,むし,bug,ひこう,flying,60,45,50,90,80,70,395,ふくがん,,いろめがね,32,pm0012_00_00_00,,1rhPWRQIQirrH-itewSod46pCYo4oqQfY,Pokémon-Icon_012
12,0013,ビードル,,1,00,00,00,,ビードル,むし,bug,どく,poison,40,35,30,20,20,50,195,りんぷん,,にげあし,3.2,pm0013_00_00_00,,1LQE39CVjqb6SD3B1ey0SYp_6PvauENPT,Pokémon-Icon_013
13,0014,コクーン,,1,00,00,00,,コクーン,むし,bug,どく,poison,45,25,50,25,25,35,205,だっぴ,,,10,pm0014_00_00_00,,1Uq6Ue2JOLmVXDqhhQRBS0YjeJQhstlSL,Pokémon-Icon_014
14,0015,スピアー,,1,00,00,00,,スピアー,むし,bug,どく,poison,65,90,40,45,80,75,395,むしのしらせ,,スナイパー,29.5,pm0015_00_00_00,,1Hz1xMBqoLKc-K_K3f0MFoxskOxXLRLyD,Pokémon-Icon_015
15,0016,ポッポ,,1,00,00,00,,ポッポ,ノーマル,normal,ひこう,flying,40,45,40,35,35,56,251,するどいめ,ちどりあし,はとむね,1.8,pm0016_00_00_00,,1zYHXWKILe_bBqAA6ruQ4crIjKcZrg-v2,Pokémon-Icon_016
16,0017,ピジョン,,1,00,00,00,,ピジョン,ノーマル,normal,ひこう,flying,63,60,55,50,50,71,349,するどいめ,ちどりあし,はとむね,30,pm0017_00_00_00,,1FHA7BTSl4vXyTi7TwM-Sc-plv-xHSS5o,Pokémon-Icon_017
17,0018,ピジョット,,1,00,00,00,,ピジョット,ノーマル,normal,ひこう,flying,83,80,75,70,70,101,479,するどいめ,ちどりあし,はとむね,39.5,pm0018_00_00_00,,1aMm9SVKoQQs7qnv0SYz5SQGP1OvL4k7Y,Pokémon-Icon_018
18,0019,コラッタ,原種,1,00,00,00,,コラッタ(原種),ノーマル,normal,なし,none,30,56,35,25,35,72,253,にげあし,こんじょう,はりきり,3.5,pm0019_00_00_00,,1jqLUoYDcBOWubxapbw4QhyC3y2gW4rPy,Pokémon-Icon_019
19,0019,コラッタ,アローラのすがた,7,00,11,00,a,コラッタ(アローラのすがた),あく,dark,ノーマル,normal,30,56,35,25,35,72,253,くいしんぼう,はりきり,あついしぼう,3.8,pm0019_00_00_00,,1nu1mwTEjeqlthWHA4a58dKJtILDevEAF,Pokémon-Icon_019a
20,0020,ラッタ,原種,1,00,00,00,,ラッタ(原種),ノーマル,normal,なし,none,55,81,60,50,70,97,413,にげあし,こんじょう,はりきり,18.5,pm0020_00_00_00,,1s4iqmMaj8zFONHw_L6WPcqK4XWwLWWDT,Pokémon-Icon_020
21,0020,ラッタ,アローラのすがた,7,00,11,00,a,ラッタ(アローラのすがた),あく,dark,ノーマル,normal,75,71,70,40,80,77,413,くいしんぼう,はりきり,あついしぼう,25.5,pm0020_00_00_00,,14jxLuYj9G6ChNa7aNAIwtrat57BZEffF,Pokémon-Icon_020a
22,0021,オニスズメ,,1,00,00,00,,オニスズメ,ノーマル,normal,ひこう,flying,40,60,30,31,31,70,262,するどいめ,,スナイパー,2,pm0021_00_00_00,,1FWRwksooqZay2868TdH5LQeMo8JyzQ7H,Pokémon-Icon_021
23,0022,オニドリル,,1,00,00,00,,オニドリル,ノーマル,normal,ひこう,flying,65,90,65,61,61,100,442,するどいめ,,スナイパー,38,pm0022_00_00_00,,1IxGEri9kXjQQilJ-3uxwGhfmdiqCrD3J,Pokémon-Icon_022
24,0023,アーボ,,1,00,00,00,,アーボ,どく,poison,なし,none,35,60,44,40,54,55,288,いかく,だっぴ,きんちょうかん,6.9,pm0023_00_00_00,,13jOb5fk1WFNqQateYfPUaJKHLT4AkjmE,Pokémon-Icon_023
25,0024,アーボック,,1,00,00,00,,アーボック,どく,poison,なし,none,60,95,69,65,79,80,448,いかく,だっぴ,きんちょうかん,65,pm0024_00_00_00,,1PDY407DjyE4vrLw_nEQ-3AY3PwrZxzcs,Pokémon-Icon_024
26,0025,ピカチュウ,,1,00,00,00,,ピカチュウ,でんき,electric,なし,none,35,55,40,50,50,90,320,せいでんき,,ひらいしん,6,pm0025_00_00_00,1CWbqZqWYFI-VhB_jnNYzeSyHAfVzcl3s,174wioVg73Vmrh1CTrqge3_jUt8-h2gaZ,Pokémon-Icon_025
27,0026,ライチュウ,原種,1,00,00,00,,ライチュウ(原種),でんき,electric,なし,none,60,90,55,90,80,110,485,せいでんき,,ひらいしん,30,pm0026_00_00_00,1HcMYpeOLWJEtKqcDBtQMxnyf3KK11pPl,1pzFGkhRPxHC8X7xBpQr3ObQBzGx9cyrc,Pokémon-Icon_026
28,0026,ライチュウ,アローラのすがた,7,00,11,00,a,ライチュウ(アローラのすがた),でんき,electric,エスパー,psychic,60,85,50,95,85,110,485,サーフテール,,,21,pm0026_00_11_00,1qmKXdcWvAdTmCoU0iPv4rzgpho27E-B3,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,Pokémon-Icon_026a
29,0027,サンド,原種,1,00,00,00,,サンド(原種),じめん,ground,なし,none,50,75,85,20,30,40,300,すながくれ,,すなかき,12,pm0027_00_00_00,,1_RzFDifw2QNwMyCCGRijzaWZCaGc4-Dc,Pokémon-Icon_027
30,0027,サンド,アローラのすがた,7,00,11,00,a,サンド(アローラのすがた),こおり,ice,はがね,steel,50,75,90,10,35,40,300,ゆきがくれ,,ゆきかき,40,pm0027_00_00_00,,13DsPl1fKDijWToVetEfQReEimM9wiECj,Pokémon-Icon_027a
31,0028,サンドパン,原種,1,00,00,00,,サンドパン(原種),じめん,ground,なし,none,75,100,110,45,55,65,450,すながくれ,,すなかき,29.5,pm0028_00_00_00,,19zV4MpMQ5pGeAXAjgpE7xQZQTD4pqbJY,Pokémon-Icon_028
32,0028,サンドパン,アローラのすがた,7,00,11,00,a,サンドパン(アローラのすがた),こおり,ice,はがね,steel,75,100,120,25,65,65,450,ゆきがくれ,,ゆきかき,55,pm0028_00_00_00,,1NLmGY_dEq-HfC9jxqYjgrSDDkKreBMDe,Pokémon-Icon_028a
33,0029,ニドラン♀,,1,00,00,00,,ニドラン♀,どく,poison,なし,none,55,47,52,40,40,41,275,どくのトゲ,とうそうしん,はりきり,7,pm0029_00_00_00,,1bJGwcgTiiMxObhRh1O4H47CrIhGwPqZB,Pokémon-Icon_029
34,0030,ニドリーナ,,1,00,00,00,,ニドリーナ,どく,poison,なし,none,70,62,67,55,55,56,365,どくのトゲ,とうそうしん,はりきり,20,pm0030_00_00_00,,1gjL4PR6kis5DHRNAssnqlyTP-bOyheA1,Pokémon-Icon_030
35,0031,ニドクイン,,1,00,00,00,,ニドクイン,どく,poison,じめん,ground,90,92,87,75,85,76,505,どくのトゲ,とうそうしん,ちからずく,60,pm0031_00_00_00,,1aeqqbP9yTOYHnHv4R5LVZZc92F8CkVpa,Pokémon-Icon_031
36,0032,ニドラン♂,,1,00,00,00,,ニドラン♂,どく,poison,なし,none,46,57,40,40,40,50,273,どくのトゲ,とうそうしん,はりきり,9,pm0032_00_00_00,,135H6wpzWXFe1MBlGKU3Ps_IYuW0vgSgJ,Pokémon-Icon_032
37,0033,ニドリーノ,,1,00,00,00,,ニドリーノ,どく,poison,なし,none,61,72,57,55,55,65,365,どくのトゲ,とうそうしん,はりきり,19.5,pm0033_00_00_00,,1VWRubdqMagNbK-TN8k7D28NsuVUIDews,Pokémon-Icon_033
38,0034,ニドキング,,1,00,00,00,,ニドキング,どく,poison,じめん,ground,81,102,77,85,75,85,505,どくのトゲ,とうそうしん,ちからずく,62,pm0034_00_00_00,,1kegkRGpt4tz0lSFqRbrEdf1yzwf24Ubh,Pokémon-Icon_034
39,0035,ピッピ,,1,00,00,00,,ピッピ,フェアリー,fairy,なし,none,70,45,48,60,65,35,323,メロメロボディ,マジックガード,フレンドガード,7.5,pm0035_00_00_00,,1fSs2v0cz0FgsaOcdkZbO8sjBMRsz69CF,Pokémon-Icon_035
40,0036,ピクシー,,1,00,00,00,,ピクシー,フェアリー,fairy,なし,none,95,70,73,95,90,60,483,メロメロボディ,マジックガード,てんねん,40,pm0036_00_00_00,,1t2Nuy29XpIlwz_tiLbQ36XCvC0iUUIGt,Pokémon-Icon_036
41,0037,ロコン,原種,1,00,00,00,,ロコン(原種),ほのお,fire,なし,none,38,41,40,50,65,65,299,もらいび,,ひでり,9.9,pm0037_00_00_00,,1lz6jTci08wqm-ezntMRjL4BcaB7ujbge,Pokémon-Icon_037
