名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
トロッゴン,941,588,最速,じょうききかん,50,6,448
レジエレキ,1004,636,最速,スカーフ,200,0,415
カマスジョー,950,597,最速,すいすい,136,2,412
トロッゴン,941,588,準速,じょうききかん,50,6,408
ジュカイン,295,209,最速,かるわざ,120,2,378
レジエレキ,1004,636,準速,スカーフ,200,0,378
オオニューラ,1017,647,最速,かるわざ,120,2,378
カマスジョー,950,597,準速,すいすい,136,2,376
ルチャブル,781,496,最速,かるわざ,118,2,374
エルフーン,605,398,最速,ようりょくそ,116,2,368
フローゼル,467,312,最速,すいすい,115,2,366
ルガルガン(まひるのすがた),841,542,最速,すなかき,112,2,360
タンドン,940,587,最速,じょうききかん,30,6,360
セキタンザン,942,589,最速,じょうききかん,30,6,360
ライチュウ(アローラのすがた),28,13,最速,サーフテール,110,2,356
ワタッコ,225,157,最速,ようりょくそ,110,2,356
タギングル,1065,692,最速,かるわざ,110,2,356
ジュカイン,295,209,準速,かるわざ,120,2,344
ドレディア(ヒスイのすがた),608,401,最速,ようりょくそ,105,2,344
オオニューラ,1017,647,準速,かるわざ,120,2,344
ルチャブル,781,496,準速,かるわざ,118,2,340
エルフーン,605,398,準速,ようりょくそ,116,2,336
フローゼル,467,312,準速,すいすい,115,2,334
マルマイン(原種),125,83,最速,スカーフ,150,0,333
マルマイン(ヒスイのすがた),126,84,最速,スカーフ,150,0,333
ルガルガン(まひるのすがた),841,542,準速,すなかき,112,2,328
タンドン,940,587,準速,じょうききかん,30,6,328
セキタンザン,942,589,準速,じょうききかん,30,6,328
ラブカス,413,277,最速,すいすい,97,2,326
ライチュウ(アローラのすがた),28,13,準速,サーフテール,110,2,324
ワタッコ,225,157,準速,ようりょくそ,110,2,324
タギングル,1065,692,準速,かるわざ,110,2,324
ジュプトル,294,208,最速,かるわざ,95,2,322
リーフィア,518,348,最速,ようりょくそ,95,2,322
メブキジカ,654,424,最速,ようりょくそ,95,2,322
ドラパルト,993,626,最速,スカーフ,142,0,319
ハハコモリ,600,396,最速,ようりょくそ,92,2,316
