名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
トロッゴン,941,最速,じょうききかん,50,6,448,O,O,O,O,X,X,X,X,X
レジエレキ,1004,最速,スカーフ,200,0,415,O,X,X,X,X,X,X,X,X
カマスジョー,950,最速,すいすい,136,2,412,O,O,O,O,X,X,X,X,O
トロッゴン,941,準速,じょうききかん,50,6,408,O,O,O,O,X,X,X,X,X
レジエレキ,1004,準速,スカーフ,200,0,378,O,X,X,X,X,X,X,X,X
オオニューラ,1017,最速,かるわざ,120,2,378,O,X,X,X,X,X,X,X,O
ジュカイン,295,最速,かるわざ,120,2,378,X,X,X,X,X,O,O,X,X
カマスジョー,950,準速,すいすい,136,2,376,O,O,O,O,X,X,X,X,O
ルチャブル,781,最速,かるわざ,118,2,374,O,O,O,O,X,X,X,X,X
エルフーン,605,最速,ようりょくそ,116,2,368,X,X,X,X,X,O,O,X,X
フローゼル,467,最速,すいすい,115,2,366,O,O,O,O,X,X,X,X,X
ルガルガン(まひるのすがた),841,最速,すなかき,112,2,360,O,O,O,O,X,X,X,X,O
タンドン,940,最速,じょうききかん,30,6,360,O,O,O,O,X,X,X,X,X
セキタンザン,942,最速,じょうききかん,30,6,360,O,O,O,O,X,X,X,X,X
ライチュウ(アローラのすがた),28,最速,サーフテール,110,2,356,O,X,X,X,X,X,X,X,O
ワタッコ,225,最速,ようりょくそ,110,2,356,O,O,O,O,X,X,X,X,X
タギングル,1065,最速,かるわざ,110,2,356,O,O,O,O,X,X,X,X,X
ドレディア(ヒスイのすがた),608,最速,ようりょくそ,105,2,344,O,X,X,X,X,X,X,X,O
オオニューラ,1017,準速,かるわざ,120,2,344,O,X,X,X,X,X,X,X,O
ジュカイン,295,準速,かるわざ,120,2,344,X,X,X,X,X,O,O,X,X
ルチャブル,781,準速,かるわざ,118,2,340,O,O,O,O,X,X,X,X,X
エルフーン,605,準速,ようりょくそ,116,2,336,X,X,X,X,X,O,O,X,X
フローゼル,467,準速,すいすい,115,2,334,O,O,O,O,X,X,X,X,X
マルマイン(原種),125,最速,スカーフ,150,0,333,O,O,O,O,X,X,X,X,X
マルマイン(ヒスイのすがた),126,最速,スカーフ,150,0,333,O,X,X,X,X,X,X,X,X
ルガルガン(まひるのすがた),841,準速,すなかき,112,2,328,O,O,O,O,X,X,X,X,O
タンドン,940,準速,じょうききかん,30,6,328,O,O,O,O,X,X,X,X,X
セキタンザン,942,準速,じょうききかん,30,6,328,O,O,O,O,X,X,X,X,X
ラブカス,413,最速,すいすい,97,2,326,O,O,O,O,X,X,X,X,X
ライチュウ(アローラのすがた),28,準速,サーフテール,110,2,324,O,X,X,X,X,X,X,X,O
ワタッコ,225,準速,ようりょくそ,110,2,324,O,O,O,O,X,X,X,X,X
タギングル,1065,準速,かるわざ,110,2,324,O,O,O,O,X,X,X,X,X
リーフィア,518,最速,ようりょくそ,95,2,322,O,O,O,O,O,X,X,X,X
