実数値,育て方,種族値,ポケモン,特性,アイコンID,ランク,D,C,A,B,イーブイ,DLC,IV,EV,性格,アイコン名
448,最速,50,トロッゴン,じょうききかん,1XAOHIipfEoYKsYL7Koon9o5Q6bmcm-FD,6,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_838
415,最速,200,レジエレキ,,1EF-G03_JJiTPOMTxR3oKXsrA20SUOw1x,1,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_894
412,最速,136,カマスジョー,すいすい,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_847
408,準速,50,トロッゴン,じょうききかん,1XAOHIipfEoYKsYL7Koon9o5Q6bmcm-FD,6,O,O,O,O,X,X,31,252,1,Pokémon-Icon_838
378,準速,200,レジエレキ,,1EF-G03_JJiTPOMTxR3oKXsrA20SUOw1x,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_894
378,最速,120,オオニューラ,かるわざ,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,2,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_903
376,準速,136,カマスジョー,すいすい,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_847
374,最速,118,ルチャブル,かるわざ,19Xf-L-x6OwoTJ3hQrwFOioVs9Dn6I4qM,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_701
368,最速,116,エルフーン,ようりょくそ,1ghRexwCvFS7tpp90SqdFDZrwezs6EBFR,2,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_547
366,最速,115,フローゼル,すいすい,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_419
360,最速,112,ルガルガン(まひるのすがた),すなかき,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_745
360,最速,30,タンドン,じょうききかん,1O0PMvJO75ZPr5-So-oHg_eypK8FN9mdP,6,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_837
360,最速,30,セキタンザン,じょうききかん,1fjz11rEGMRUW3pwXFiAKtKFOEXjOXq9J,6,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_839
356,最速,110,タギングル,かるわざ,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_945
356,最速,110,ライチュウ(アローラのすがた),サーフテール,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,2,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_026a
356,最速,110,ワタッコ,ようりょくそ,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_189
344,準速,120,オオニューラ,かるわざ,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,2,O,X,X,X,X,X,31,252,1,Pokémon-Icon_903
344,最速,105,ドレディア(ヒスイのすがた),ようりょくそ,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,2,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_549a
340,準速,118,ルチャブル,かるわざ,19Xf-L-x6OwoTJ3hQrwFOioVs9Dn6I4qM,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_701
334,準速,115,フローゼル,すいすい,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_419
333,最速,150,マルマイン(ヒスイのすがた),,1_rPTatsFWNWT2SCUdol7GpXyr_N6OEH6,1,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_101a
333,最速,150,マルマイン(原種),,1srpHfzKsBCqVk118OSPFikcqcJ5wDvdB,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_101
330,最速,148,ザシアン(けんのおう),,10h1Cjyc8oZwuWdXCUOjgFNdvp8dePrYd,1,X,X,X,X,X,X,31,252,1.1,Pokémon-Icon_888
328,準速,112,ルガルガン(まひるのすがた),すなかき,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_745
328,準速,30,タンドン,じょうききかん,1O0PMvJO75ZPr5-So-oHg_eypK8FN9mdP,6,O,O,O,O,X,X,31,252,1,Pokémon-Icon_837
328,準速,30,セキタンザン,じょうききかん,1fjz11rEGMRUW3pwXFiAKtKFOEXjOXq9J,6,O,O,O,O,X,X,31,252,1,Pokémon-Icon_839
326,最速,97,ラブカス,すいすい,1j71Mp9WDZWzo2aWLgbee4Tbc_dgHcXFA,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_370
324,準速,110,タギングル,かるわざ,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_945
324,準速,110,ライチュウ(アローラのすがた),サーフテール,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,2,O,X,X,X,X,X,31,252,1,Pokémon-Icon_026a
324,準速,110,ワタッコ,ようりょくそ,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_189
322,最速,95,メブキジカ,ようりょくそ,1d8ioyKX9rwLMUPBgY5RQUodhTqUq8QdQ,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_586
322,最速,95,リーフィア,ようりょくそ,1-0vvisqyZ_xFMEBs1EmBRsI0C3V3IB-I,2,O,O,O,O,O,X,31,252,1.1,Pokémon-Icon_470
319,最速,142,ドラパルト,,1gDDB3qD8gSa3pKqeJ_8Sg1cb3ylrYPON,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_887
